Vis,SomMot,DorsAttn,VentAttn,Limbic,Cont,Default
0.037298,-0.010772,0.074662,0.039836,0.013755,0.10297,0.10512
0.042359,-0.0050136,0.079484,0.051021,0.01973,0.11277,0.11394
-0.080789,-0.14253,-0.16955,-0.11708,-0.11861,-0.18554,-0.19523
-0.085091,-0.1457,-0.1937,-0.13147,-0.12305,-0.21162,-0.20313
-0.077621,-0.091674,-0.13051,-0.044375,-0.074363,-0.14507,-0.1826
-0.078187,-0.093032,-0.13363,-0.046207,-0.076507,-0.15092,-0.19094
-0.11824,-0.13652,-0.22307,-0.14367,-0.12354,-0.25913,-0.25813
-0.12553,-0.13852,-0.23617,-0.14785,-0.1281,-0.27987,-0.28444
-0.13473,-0.14288,-0.26055,-0.11748,-0.13464,-0.31298,-0.35495
-0.13516,-0.14557,-0.25681,-0.11758,-0.13547,-0.31301,-0.36259
-0.10337,-0.010543,-0.053816,0.057547,-0.031674,-0.13126,-0.31727
-0.072945,-0.060232,-0.10914,-0.010288,-0.069224,-0.13297,-0.2376
-0.082531,-0.004673,-0.081743,0.02902,-0.040679,-0.15095,-0.31166
-0.082058,-0.0014895,-0.082343,0.051095,-0.034407,-0.1395,-0.30978
-0.08157,-0.024536,-0.076808,0.014363,-0.03951,-0.13198,-0.2602
-0.081307,-0.026917,-0.082066,0.0083533,-0.041202,-0.13201,-0.25003
-0.089414,-0.033092,-0.097122,0.017398,-0.02407,-0.15057,-0.25986
-0.087457,-0.025048,-0.088968,0.037132,-0.020541,-0.13911,-0.26776
-0.090407,0.00081624,-0.13055,0.011123,-0.03532,-0.1946,-0.30443
-0.092116,-0.016313,-0.11878,0.026486,-0.041741,-0.17707,-0.32095
-0.13448,-0.02063,-0.29911,-0.19249,-0.095763,-0.42003,-0.35843
-0.13192,-0.041801,-0.30787,-0.2116,-0.10718,-0.43131,-0.35549
-0.10184,-0.08548,-0.24573,-0.16086,-0.12801,-0.30797,-0.2796
-0.1008,-0.090269,-0.24544,-0.16818,-0.12806,-0.30792,-0.26809
-0.14435,-0.077537,-0.26865,-0.15521,-0.13021,-0.35899,-0.36649
-0.14374,-0.079004,-0.27998,-0.16205,-0.12995,-0.37412,-0.3668
-0.05646,-0.01566,-0.09272,-0.045968,-0.033036,-0.12575,-0.12575
-0.05762,-0.017887,-0.091456,-0.039123,-0.036408,-0.12779,-0.141
-0.10399,-0.09962,-0.19162,-0.15431,-0.11421,-0.25852,-0.25219
-0.098748,-0.10253,-0.19217,-0.16208,-0.11348,-0.26823,-0.25249
-0.096101,-0.12605,-0.12942,-0.12658,-0.11254,-0.17879,-0.21946
-0.10002,-0.12161,-0.14966,-0.13215,-0.11105,-0.19834,-0.23671
-0.092435,-0.15515,-0.079644,-0.084809,-0.10561,-0.15436,-0.26169
-0.10072,-0.15914,-0.099489,-0.09147,-0.10856,-0.16065,-0.27343
-0.062147,-0.10396,-0.020749,-0.021446,-0.074572,-0.097286,-0.27611
-0.095937,-0.058653,-0.11189,-0.039747,-0.067225,-0.15426,-0.23982
-0.089439,-0.046937,-0.047455,0.0065872,-0.047161,-0.10708,-0.23917
-0.11596,-0.040331,-0.11059,-0.026278,-0.067885,-0.20311,-0.3793
-0.10876,-0.022666,-0.089984,-0.013972,-0.050636,-0.18549,-0.35071
-0.087963,-0.054035,-0.083999,-0.010835,-0.058036,-0.15159,-0.31197
-0.072662,-0.052002,-0.06181,-0.0067625,-0.049388,-0.13131,-0.292
-0.077131,-0.057033,-0.065282,-0.024509,-0.069867,-0.1131,-0.2532
-0.069194,-0.054663,-0.052033,-0.031877,-0.067571,-0.11256,-0.25201
-0.10751,-0.018717,-0.057958,0.074529,-0.030734,-0.12184,-0.33997
-0.0706,-0.11029,-0.035072,-0.02332,-0.081028,-0.10343,-0.29385
0.002402,-0.002569,0.09177,0.096168,0.028907,0.081988,-0.056062
0.052422,-0.020884,0.14519,0.071923,0.047075,0.19547,0.059931
0.0093305,0.007268,0.0064588,0.04015,0.021043,0.016198,-0.061139
0.038051,0.046485,0.11707,0.18862,0.084642,0.13571,-0.11845
0.03025,0.058605,0.073891,0.17541,0.080639,0.077144,-0.12965
-0.0087249,-0.067386,0.015947,-0.015149,-0.026598,0.016515,-0.10619
0.00076969,0.00074139,-0.016419,0.044907,0.023145,0.032937,-0.05722
-0.0028785,-0.056068,-0.011698,-0.030321,-0.02618,-0.028002,-0.097722
0.0013695,0.0018111,0.014398,0.076154,0.02172,0.023464,-0.13255
0.015248,0.013499,0.083634,0.076193,0.027521,0.043299,-0.06694
-0.005221,-0.017391,0.0026096,-0.0093969,-0.0089688,-0.0079796,-0.032057
-0.0056062,0.0049304,-0.025917,0.049792,0.0111,-0.031932,-0.13872
0.028435,-0.0068831,0.1656,0.098175,0.026624,0.13202,-0.071512
-0.096454,-0.11724,-0.211,-0.20584,-0.1261,-0.23852,-0.1423
-0.11155,-0.12799,-0.24293,-0.214,-0.12541,-0.23947,-0.16152
-0.045752,-0.067563,-0.076368,-0.098454,-0.04199,-0.095585,-0.040652
-0.046836,-0.074419,-0.082973,-0.10575,-0.050087,-0.1043,-0.060392
-0.056322,-0.074697,-0.10224,-0.13244,-0.066415,-0.11969,-0.01553
-0.059125,-0.083723,-0.10975,-0.14418,-0.066095,-0.11352,-0.015724
0.0073736,-0.05812,-0.021965,-0.10449,-0.034347,-0.033698,0.098312
-0.0072362,-0.063955,-0.00085814,-0.08347,-0.037168,-0.0098228,0.044663
0.03819,-0.058966,0.18844,0.011443,-0.013792,0.087274,-0.052322
0.078795,-0.055121,0.257,0.02702,-0.0011646,0.14059,-0.050452
0.027013,-0.063248,0.17937,0.029757,-0.013249,0.10165,-0.11258
0.046339,-0.043392,0.11677,0.010769,0.01102,0.067304,-0.0487
0.033194,-0.11565,0.11199,-0.10527,-0.069341,0.015191,-0.044017
0.093496,-0.048767,0.27728,0.044308,0.01048,0.1981,-0.034816
0.024418,-0.058099,0.11093,0.02847,-0.0020968,0.07444,-0.11723
0.040291,-0.045304,0.18114,0.016742,-0.0083033,0.076864,-0.061933
-0.0015756,-0.13868,0.12565,-0.070851,-0.077334,0.045853,-0.13714
0.0064158,-0.018456,0.012552,-0.022096,-0.0080459,0.0015492,0.0063684
0.011728,-0.0077356,0.026564,-0.0015734,0.0011058,0.018014,0.00091912
0.11,-0.043436,0.18067,-0.057534,-0.0046934,0.1177,0.1795
0.11665,-0.052361,0.22213,-0.045516,0.00088258,0.18261,0.16596
0.1627,-0.019399,0.27062,0.0028767,0.04798,0.24915,0.27996
0.14365,-0.023732,0.24852,-0.0027087,0.045242,0.27393,0.2712
0.10866,-0.028842,0.13022,-0.041067,0.022735,0.12098,0.17018
0.11799,-0.033719,0.13689,-0.054181,0.025121,0.15817,0.28183
0.12756,-0.054267,0.20612,-0.034748,0.029188,0.25146,0.23907
-0.0011598,-0.084698,0.043667,-0.050668,-0.016719,0.016925,0.036393
-0.013113,-0.093308,0.032373,-0.055358,-0.024383,0.019628,-0.0051407
-0.042656,-0.075044,-0.094563,-0.10845,-0.043649,-0.099358,0.0055145
-0.048983,-0.086157,-0.092087,-0.10696,-0.050456,-0.10383,-0.034642
0.15353,-0.025204,0.21056,-0.019809,0.032169,0.1912,0.25628
0.13497,-0.02846,0.23993,0.013343,0.039466,0.25464,0.20482
0.091275,-0.030582,0.12797,-0.0274,0.011399,0.10988,0.11247
0.076173,-0.042147,0.14922,-0.0070295,0.014302,0.16158,0.10667
0.052181,0.0011078,0.11422,0.086769,0.062497,0.1046,0.040754
0.046588,-0.012537,0.12053,0.075188,0.048605,0.1252,0.023737
0.030264,0.019303,0.057817,0.061644,0.035441,0.058892,0.029138
0.029091,0.019769,0.061161,0.068198,0.037545,0.067005,0.02863
0.010827,-0.064675,-0.058991,-0.16174,-0.037163,-0.003842,0.22452
0.073123,-0.051215,0.02989,-0.15182,-0.015418,0.059241,0.37543
0.039327,-0.068971,-0.0025989,-0.15563,-0.018979,0.077711,0.32731
0.051733,-0.055016,0.026511,-0.10103,0.00021569,0.085795,0.22425
0.06449,-0.034915,0.010183,-0.092504,0.013216,0.042616,0.22883
0.031934,-0.038147,-0.043798,-0.12486,-0.0066385,0.0088745,0.29938
0.025463,-0.035894,-0.021772,-0.099592,6.59E-05,0.044424,0.26161
0.014293,-0.025751,-0.087216,-0.096401,0.0032519,-0.034296,0.17281
-0.00025501,-0.045955,-0.078986,-0.10908,-0.0069828,0.0023732,0.18008
0.0034043,-0.093087,-0.1143,-0.23065,-0.067524,-0.055358,0.2898
0.020415,-0.073205,-0.070116,-0.17346,-0.031849,0.016897,0.32479
0.034104,-0.07407,0.0084362,-0.13286,-0.023009,0.087474,0.26782
0.028013,-0.060598,-0.088348,-0.17857,-0.032279,-0.010106,0.30198
-0.032339,-0.085944,-0.13853,-0.19768,-0.061691,-0.069023,0.17069
0.070066,-0.054677,0.010991,-0.13988,-0.019596,0.064912,0.31559
0.014551,-0.062808,-0.052311,-0.14091,-0.018825,0.058611,0.26832
-0.005384,-0.099868,-0.079943,-0.19933,-0.074212,-0.054639,0.18075
-0.018581,-0.10504,-0.065083,-0.17489,-0.06323,-0.0024707,0.16297
