"","In0.05","In0.01","In0.001","In0.0001","De0.05","De0.01","De0.001","De0.0001"
"Amygdala.Adolescence",0.341870503597122,0.40156862745098,1,1,0.06,1,1,1
"Cerebellum.Adolescence",0.0553846153846154,0.116756756756757,0.397350993377483,0.488622754491018,0.237913043478261,0.158117647058824,0.340869565217391,0.452484076433121
"Cortex.Adolescence",0.144,0.482909090909091,0.340869565217391,1,0.24,1,1,1
"Hippocampus.Adolescence",0.000459,0.218181818181818,1,1,0.0786885245901639,1,1,1
"Striatum.Adolescence",0.957857142857143,0.699901477832512,1,1,0.0553846153846154,0.16695652173913,1,1
"Thalamus.Adolescence",0.231578947368421,1,1,1,0.0133333333333333,0.108169014084507,0.482909090909091,1
"Amygdala.Early.Childhood",0.197383177570093,1,1,1,0.148148148148148,1,1,1
"Cerebellum.Early.Childhood",0.208888888888889,0.782559241706161,1,1,0.16695652173913,0.0246153846153846,1,1
"Cortex.Early.Childhood",0.515657142857143,1,1,1,1,0.538666666666667,1,1
"Hippocampus.Early.Childhood",0.00371478260869565,1.812e-05,0.0038976,1,1.088e-06,8.46e-06,0.05,1
"Striatum.Early.Childhood",0.488622754491018,0.6,1,1,0.00100533333333333,0.0650847457627119,0.332307692307692,1
"Thalamus.Early.Childhood",1,1,1,1,0.05,1,1,1
"Amygdala.Early.Fetal",0.284,0.607135135135135,0.356571428571429,1,1,1,1,1
"Cerebellum.Early.Fetal",0.184242424242424,0.293553719008264,0.455849056603774,1,0.831111111111111,0.401052631578947,1,1
"Cortex.Early.Fetal",1,0.511242603550296,1,1,1,0.698613861386139,1,1
"Hippocampus.Early.Fetal",1,1,1,1,0.626526315789474,1,1,1
"Striatum.Early.Fetal",0.640837696335079,1,1,1,1,1,1,1
"Thalamus.Early.Fetal",1,0.515657142857143,0.227142857142857,1,0.33,0.036,0.192,0.340869565217391
"Amygdala.Early.Mid.Fetal",1,1,1,1,0.81196261682243,1,1,1
"Cerebellum.Early.Mid.Fetal",1.9296e-08,0.00759428571428571,1,1,1.332e-08,0.00283636363636364,0.0133333333333333,0.130909090909091
"Cortex.Early.Mid.Fetal",1,1,1,1,0.38,0.192,1,1
"Hippocampus.Early.Mid.Fetal",0.957885462555066,1,1,1,0.06,0.768461538461538,1,1
"Striatum.Early.Mid.Fetal",0.806760563380282,0.392432432432432,0.515657142857143,1,0.6,0.33,1,1
"Thalamus.Early.Mid.Fetal",0.06,0.957885462555066,1,1,1.09090909090909e-05,0.194716981132075,1,1
"Amygdala.Late.Fetal",0.612063492063492,1,1,1,1,1,1,1
"Cerebellum.Late.Fetal",0.0553846153846154,0.88954128440367,1,1,0.154285714285714,0.384657534246575,1,1
"Cortex.Late.Fetal",1,1,1,1,0.680201005025125,1,1,1
"Hippocampus.Late.Fetal",0.0904347826086956,1,1,1,0.0859701492537314,0.515657142857143,1,1
"Striatum.Late.Fetal",0.215779816513761,1,1,1,0.596043956043956,0.0812307692307692,1,1
"Thalamus.Late.Fetal",0.0133333333333333,0.812651162790698,1,1,0.0436363636363636,0.00230857142857143,0.0133333333333333,1
"Amygdala.Late.Infancy",1,1,1,1,1,1,1,1
"Cerebellum.Late.Infancy",0.192,0.33,0.936322869955157,1,0.0859701492537314,0.0038976,0.33,0.66761421319797
"Cortex.Late.Infancy",0.175483870967742,1,1,1,0.192,1,1,1
"Hippocampus.Late.Infancy",0.00133389473684211,0.0436363636363636,1,1,0.150361445783133,0.0246153846153846,1,1
"Striatum.Late.Infancy",0.551602209944751,0.332307692307692,0.511242603550296,1,0.536312849162011,0.256271186440678,1,1
"Thalamus.Late.Infancy",0.00426461538461538,0.526363636363636,1,1,0.116756756756757,0.16695652173913,1,1
"Amygdala.Late.Mid.Fetal",1,1,1,1,0.130909090909091,1,1,1
"Cerebellum.Late.Mid.Fetal",0.108169014084507,0.0650847457627119,0.384657534246575,1,0.16695652173913,0.176842105263158,0.88258064516129,0.482909090909091
"Cortex.Late.Mid.Fetal",1,1,1,1,0.16695652173913,1,1,1
"Hippocampus.Late.Mid.Fetal",0.05,0.227142857142857,0.6425,1,1.856e-08,9.81333333333333e-06,0.150361445783133,1
"Striatum.Late.Mid.Fetal",0.456149068322981,1,1,1,0.612063492063492,0.782559241706161,0.515657142857143,1
"Thalamus.Late.Mid.Fetal",0.000886588235294118,0.000108685714285714,0.455849056603774,0.907636363636364,1.4448e-09,1.9296e-08,1.09090909090909e-05,0.0812307692307692
"Amygdala.Middle.Late.Childhood",0.33,1,1,1,0.0133333333333333,1,1,1
"Cerebellum.Middle.Late.Childhood",0.258151260504202,0.408311688311688,1,1,0.411870967741935,0.318688524590164,0.192,0.340869565217391
"Cortex.Middle.Late.Childhood",0.340869565217391,1,1,1,0.128,1,1,1
"Hippocampus.Middle.Late.Childhood",0.0133333333333333,0.927567567567568,1,1,0.192,1,1,1
"Striatum.Middle.Late.Childhood",0.760579710144928,1,1,1,0.365070422535211,0.113333333333333,1,1
"Thalamus.Middle.Late.Childhood",1,1,1,1,0.0553846153846154,0.536312849162011,0.680201005025125,0.430769230769231
"Amygdala.Neotal.Early.Infancy",0.0246153846153846,0.176842105263158,1,1,1,1,1,1
"Cerebellum.Neotal.Early.Infancy",0.05,0.687761194029851,0.397350993377483,0.715294117647059,0.06,0.139746835443038,0.340869565217391,0.184242424242424
"Cortex.Neotal.Early.Infancy",0.649119170984456,1,0.456,1,0.16695652173913,1,1,1
"Hippocampus.Neotal.Early.Infancy",0.00524444444444444,0.66761421319797,0.16695652173913,1,6.384e-06,0.612063492063492,1,1
"Striatum.Neotal.Early.Infancy",0.242051282051282,0.392432432432432,1,1,0.0786885245901639,0.33,1,1
"Thalamus.Neotal.Early.Infancy",0.18,0.806760563380282,0.687761194029851,1,0.231578947368421,0.183092783505155,1,1
"Amygdala.Young.Adulthood",0.778564593301435,0.726990291262136,1,1,0.912217194570136,1,1,1
"Cerebellum.Young.Adulthood",0.139746835443038,0.357446808510638,0.482909090909091,0.66761421319797,0.0904347826086956,0.0133333333333333,0.0436363636363636,0.612063492063492
"Cortex.Young.Adulthood",0.340869565217391,0.397350993377483,0.515657142857143,0.38,0.0650847457627119,1,1,1
"Hippocampus.Young.Adulthood",0.0436363636363636,6.38769230769231e-05,0.0001344,0.340869565217391,0.0133333333333333,0.0018768,0.528813559322034,1
"Striatum.Young.Adulthood",0.718829268292683,0.650721649484536,1,1,0.0812307692307692,0.957885462555066,1,1
"Thalamus.Young.Adulthood",1,0.903013698630137,1,1,0.0812307692307692,1,1,1
