"","structure_id","slab_num","well_id","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z"
"128",4703,69,8941,"CB","Ve-V","V",1110727,92,99,138,3.1,-67.1,-5.3
"129",4727,71,8425,"CB","PV-VIIIB","VIIIB, left, paravermis",1110760,104,141,121,-10.2,-50.4,-56.4
"130",4738,74,8363,"CB","He-VI","VI, left, lateral hemisphere",1110880,124,111,128,-32.8,-57.2,-20.5
"131",4739,75,8395,"CB","He-Crus I","Crus I, left, lateral hemisphere",1110907,134,113,146,-43.7,-77.1,-21
"190",4740,75,8403,"CB","He-Crus II","Crus II, left, lateral hemisphere",1110909,131,128,150,-40.2,-82,-38.3
"195",4773,63,8381,"CB","He-Crus II","Crus II, right, lateral hemisphere",1110921,59,135,123,40.2,-51.5,-49.1
"196",4773,63,8389,"CB","He-Crus II","Crus II, right, lateral hemisphere",1110922,59,131,128,40.3,-56.8,-43.9
"197",4774,64,8445,"CB","He-VIIB","VIIB, right, lateral hemisphere",1110846,65,138,131,33.6,-60.5,-51.8
"198",4775,64,8358,"CB","He-VIIIA","VIIIA, right, lateral hemisphere",1110849,65,141,140,33.8,-70.4,-54.5
"199",4775,64,8366,"CB","He-VIIIA","VIIIA, right, lateral hemisphere",1110848,65,144,130,33.7,-59.6,-59
"200",4771,64,8429,"CB","He-VI","VI, right, lateral hemisphere",1110860,65,115,109,33.2,-35.6,-27
"201",4771,64,8437,"CB","He-VI","VI, right, lateral hemisphere",1110861,65,112,122,33.3,-49.6,-22.1
"202",4772,64,8397,"CB","He-Crus I","Crus I, right, lateral hemisphere",1110834,65,123,153,33.8,-83.9,-32
"203",4773,64,8405,"CB","He-Crus II","Crus II, right, lateral hemisphere",1110836,65,128,146,33.7,-76.4,-38.6
"204",4772,64,8413,"CB","He-Crus I","Crus I, right, lateral hemisphere",1110835,66,114,145,32.5,-74.8,-22.2
"205",4773,64,8421,"CB","He-Crus II","Crus II, right, lateral hemisphere",1110837,65,132,151,33.8,-82,-42.8
"206",4752,67,8391,"CB","PV-IV","IV, right, paravermis",1110008,82,110,111,14.1,-37.9,-20.9
"207",4753,67,8399,"CB","PV-V","V, right, paravermis",1110011,82,105,126,14.2,-54,-13.5
"208",4752,67,8407,"CB","PV-IV","IV, right, paravermis",1110045,82,115,112,14.1,-39.2,-26.7
"209",4753,67,8415,"CB","PV-V","V, right, paravermis",1110046,82,107,115,14.1,-42.1,-17
"210",4759,67,8438,"CB","PV-VIIIA","VIIIA, right, paravermis",1110031,83,136,147,13.7,-78.2,-47.9
"211",4761,67,8359,"CB","PV-IX","IX, right, paravermis",1110029,83,133,129,13.4,-58.4,-46.2
"212",4759,67,8367,"CB","PV-VIIIA","VIIIA, right, paravermis",1110034,83,139,139,13.6,-69.6,-52.3
"213",4760,67,8375,"CB","PV-VIIIB","VIIIB, right, paravermis",1110033,83,132,133,13.4,-62.7,-44.6
"214",4761,67,8383,"CB","PV-IX","IX, right, paravermis",1110032,82,133,129,14.5,-58.4,-46.2
"215",4755,67,8374,"CB","PV-VI","VI, right, paravermis",1110055,82,111,138,14.4,-67.4,-19.4
"216",4756,67,8382,"CB","PV-Crus I","Crus I, right, paravermis",1110052,82,117,159,14.8,-90.5,-24.4
"217",4757,67,8390,"CB","PV-Crus II","Crus II, right, paravermis",1110051,83,129,156,13.7,-87.7,-38.8
"218",4758,67,8398,"CB","PV-VIIB","VIIB, right, paravermis",1110050,83,130,154,13.7,-85.6,-40.2
"219",4755,67,8406,"CB","PV-VI","VI, right, paravermis",1110056,82,111,149,14.6,-79.4,-18.3
"220",4756,67,8414,"CB","PV-Crus I","Crus I, right, paravermis",1110054,82,114,152,14.6,-82.7,-21.6
"221",4757,67,8422,"CB","PV-Crus II","Crus II, right, paravermis",1110053,82,123,148,14.7,-78.7,-32.5
"222",4758,67,8430,"CB","PV-VIIB","VIIB, right, paravermis",1110049,83,132,152,13.7,-83.5,-42.7
"223",4701,69,8440,"CB","Ve-III","III",1110745,92,102,118,2.9,-45.4,-10.8
"224",4711,69,8448,"CB","Ve-IX","IX",1110747,93,133,132,2.2,-61.9,-45.9
"225",4701,69,8369,"CB","Ve-III","III",1110746,92,108,116,2.9,-43.4,-18.1
"226",4711,69,8377,"CB","Ve-IX","IX",1110749,93,119,127,2,-55.9,-29.9
"227",4713,69,8385,"CB","Ve-X","X",1110750,93,132,129,2.2,-58.6,-45
"228",4702,69,8392,"CB","Ve-IV","IV",1110731,92,92,129,2.9,-57,2
"229",4703,69,8400,"CB","Ve-V","V",1110728,92,102,136,3.1,-65,-9
"230",4705,69,8408,"CB","Ve-VI","VI",1110729,92,103,145,3.2,-74.9,-9.3
"231",4702,69,8416,"CB","Ve-IV","IV",1110732,92,103,126,3,-54.1,-11.2
"232",4703,69,8424,"CB","Ve-V","V",1110727,91,99,138,4.2,-67.1,-5.3
"233",4705,69,8432,"CB","Ve-VI","VI",1110730,92,107,136,3.2,-65.2,-14.9
"234",4707,69,8423,"CB","Ve-VIIAt","VIIAt",1110735,92,118,153,3.5,-84.2,-26.2
"235",4708,69,8431,"CB","Ve-VIIB","VIIB",1110737,93,117,143,2.2,-73.3,-26
"236",4709,69,8439,"CB","Ve-VIIIA","VIIIA",1110738,93,128,138,2.3,-68.2,-39.4
"237",4710,69,8447,"CB","Ve-VIIIB","VIIIB",1110739,93,119,134,2.1,-63.5,-29.2
"238",4707,69,8360,"CB","Ve-VIIAt","VIIAt",1110736,93,109,150,2.2,-80.6,-15.9
"239",4708,69,8368,"CB","Ve-VIIB","VIIB",1110740,93,113,145,2.2,-75.3,-21.1
"240",4709,69,8376,"CB","Ve-VIIIA","VIIIA",1110741,93,122,141,2.2,-71.3,-32.1
"241",4710,69,8384,"CB","Ve-VIIIB","VIIIB",1110742,93,127,135,2.2,-64.9,-38.5
"242",4720,71,8410,"CB","PV-V","V, left, paravermis",1110775,104,107,125,-10.4,-53.4,-16
"243",4720,71,8418,"CB","PV-V","V, left, paravermis",1110776,104,101,134,-10.4,-63,-8.1
"244",4722,71,8378,"CB","PV-VI","VI, left, paravermis",1110769,104,107,149,-10.1,-79.6,-13.6
"245",4723,71,8386,"CB","PV-Crus I","Crus I, left, paravermis",1110771,104,117,157,-9.9,-88.7,-24.6
"246",4722,71,8394,"CB","PV-VI","VI, left, paravermis",1110770,104,107,142,-10.2,-72,-14.3
"247",4723,71,8402,"CB","PV-Crus I","Crus I, left, paravermis",1110772,104,110,160,-9.9,-91.7,-16.1
"248",4728,71,8433,"CB","PV-IX","IX, left, paravermis",1110763,104,134,127,-10.1,-56.7,-47.6
"249",4730,71,8441,"CB","PV-X","X, left, paravermis",1110765,104,128,121,-10.3,-49.9,-41.1
"250",4727,71,8449,"CB","PV-VIIIB","VIIIB, left, paravermis",1110759,104,138,129,-10.1,-59,-52.1
"251",4728,71,8362,"CB","PV-IX","IX, left, paravermis",1110764,104,132,127,-10.2,-56.6,-45.2
"252",4730,71,8370,"CB","PV-X","X, left, paravermis",1110766,105,121,115,-11.5,-43.1,-33.5
"253",4725,71,8393,"CB","PV-VIIB","VIIB, left, paravermis",1110753,104,133,152,-9.8,-83.9,-43.9
"254",4726,71,8401,"CB","PV-VIIIA","VIIIA, left, paravermis",1110755,104,136,146,-9.9,-77.5,-48.1
"255",4725,71,8409,"CB","PV-VIIB","VIIB, left, paravermis",1110754,104,126,146,-10,-77.1,-36.3
"256",4726,71,8417,"CB","PV-VIIIA","VIIIA, left, paravermis",1110756,104,135,140,-10,-70.9,-47.5
"257",4738,74,8371,"CB","He-VI","VI, left, lateral hemisphere",1110881,124,110,134,-32.7,-63.8,-18.7
"258",4741,74,8379,"CB","He-VIIB","VIIB, left, lateral hemisphere",1110897,123,137,124,-31.4,-53.9,-51.4
"259",4741,74,8387,"CB","He-VIIB","VIIB, left, lateral hemisphere",1110898,123,140,126,-31.4,-56.2,-54.8
"260",4739,74,8426,"CB","He-Crus I","Crus I, left, lateral hemisphere",1110868,124,114,146,-32.5,-77,-22.2
"261",4740,74,8434,"CB","He-Crus II","Crus II, left, lateral hemisphere",1110870,123,141,138,-31.2,-69.3,-54.8
"262",4739,74,8442,"CB","He-Crus I","Crus I, left, lateral hemisphere",1110869,123,126,149,-31.2,-80.7,-36
"263",4740,74,8450,"CB","He-Crus II","Crus II, left, lateral hemisphere",1110872,123,132,129,-31.4,-59.1,-45.1
"264",4739,75,8411,"CB","He-Crus I","Crus I, left, lateral hemisphere",1110911,134,125,115,-44,-43.8,-38.2
"265",4740,75,8419,"CB","He-Crus II","Crus II, left, lateral hemisphere",1110910,133,133,117,-42.8,-46.3,-47.4
